utcTime,scoreStr,home,away,finished
2024-11-27T20:00:00Z,2 - 0,Liverpool,Real Madrid,True
2024-11-27T20:00:00Z,2 - 3,Monaco,Benfica,True
2024-11-27T20:00:00Z,3 - 2,PSV Eindhoven,Shakhtar Donetsk,True
2024-12-10T17:45:00Z,0 - 0,Dinamo Zagreb,Celtic,True
2024-12-10T17:45:00Z,0 - 1,Girona,Liverpool,True
2024-12-10T20:00:00Z,2 - 3,Atalanta,Real Madrid,True
2024-12-10T20:00:00Z,1 - 0,Leverkusen,Inter,True
2024-12-10T20:00:00Z,1 - 0,Brest,PSV Eindhoven,True
2024-12-10T20:00:00Z,2 - 1,Club Brugge,Sporting CP,True
2024-12-10T20:00:00Z,2 - 3,RB Leipzig,Aston Villa,True
2024-12-10T20:00:00Z,0 - 3,Salzburg,PSG,True
2024-12-10T20:00:00Z,1 - 5,Shakhtar Donetsk,Bayern München,True
2024-12-11T17:45:00Z,3 - 1,Atletico Madrid,Slovan Bratislava,True
2024-12-11T17:45:00Z,3 - 2,Lille,Sturm Graz,True
2024-12-11T20:00:00Z,2 - 1,Milan,FK Crvena Zvezda,True
2024-12-11T20:00:00Z,3 - 0,Arsenal,Monaco,True
2024-12-11T20:00:00Z,0 - 0,Benfica,Bologna,True
2024-12-11T20:00:00Z,2 - 3,Dortmund,Barcelona,True
2024-12-11T20:00:00Z,4 - 2,Feyenoord,Sparta Prague,True
2024-12-11T20:00:00Z,2 - 0,Juventus,Man City,True
2024-12-11T20:00:00Z,5 - 1,VfB Stuttgart,Young Boys,True
2025-01-21T17:45:00Z,5 - 0,Atalanta,Sturm Graz,True
2025-01-21T17:45:00Z,1 - 0,Monaco,Aston Villa,True
2025-01-21T20:00:00Z,2 - 1,Atletico Madrid,Leverkusen,True
2025-01-21T20:00:00Z,4 - 5,Benfica,Barcelona,True
2025-01-21T20:00:00Z,2 - 1,Bologna,Dortmund,True
2025-01-21T20:00:00Z,0 - 0,Club Brugge,Juventus,True
2025-01-21T20:00:00Z,2 - 3,FK Crvena Zvezda,PSV Eindhoven,True
2025-01-21T20:00:00Z,2 - 1,Liverpool,Lille,True
2025-01-21T20:00:00Z,1 - 3,Slovan Bratislava,VfB Stuttgart,True
2025-01-22T17:45:00Z,2 - 1,RB Leipzig,Sporting CP,True
2025-01-22T17:45:00Z,2 - 0,Shakhtar Donetsk,Brest,True
2025-01-22T20:00:00Z,1 - 0,Milan,Girona,True
2025-01-22T20:00:00Z,3 - 0,Arsenal,Dinamo Zagreb,True
2025-01-22T20:00:00Z,1 - 0,Celtic,Young Boys,True
2025-01-22T20:00:00Z,3 - 0,Feyenoord,Bayern München,True
2025-01-22T20:00:00Z,4 - 2,PSG,Man City,True
2025-01-22T20:00:00Z,5 - 1,Real Madrid,Salzburg,True
2025-01-22T20:00:00Z,0 - 1,Sparta Prague,Inter,True
2025-01-29T20:00:00Z,4 - 2,Aston Villa,Celtic,True
2025-01-29T20:00:00Z,2 - 2,Barcelona,Atalanta,True
2025-01-29T20:00:00Z,2 - 0,Leverkusen,Sparta Prague,True
2025-01-29T20:00:00Z,3 - 1,Bayern München,Slovan Bratislava,True
2025-01-29T20:00:00Z,3 - 1,Dortmund,Shakhtar Donetsk,True
2025-01-29T20:00:00Z,0 - 3,Brest,Real Madrid,True
2025-01-29T20:00:00Z,2 - 1,Dinamo Zagreb,Milan,True
2025-01-29T20:00:00Z,1 - 2,Girona,Arsenal,True
2025-01-29T20:00:00Z,3 - 0,Inter,Monaco,True
2025-01-29T20:00:00Z,0 - 2,Juventus,Benfica,True
2025-01-29T20:00:00Z,6 - 1,Lille,Feyenoord,True
2025-01-29T20:00:00Z,3 - 1,Man City,Club Brugge,True
2025-01-29T20:00:00Z,3 - 2,PSV Eindhoven,Liverpool,True
2025-01-29T20:00:00Z,1 - 4,Salzburg,Atletico Madrid,True
2025-01-29T20:00:00Z,1 - 1,Sporting CP,Bologna,True
2025-01-29T20:00:00Z,1 - 0,Sturm Graz,RB Leipzig,True
2025-01-29T20:00:00Z,1 - 4,VfB Stuttgart,PSG,True
